,AccID,Organism,Length,GC-content
0,NC_000906.2,"Lactococcus lactis IL964 plasmid pIL105, complete sequence",8506,29.79
1,NC_000914.2,"Sinorhizobium fredii NGR234 plasmid pNGR234a, complete sequence",536165,58.49
2,NC_000923.1,"Acinetobacter sp. SUN resistance plasmid pRAY, complete genome",6076,39.25
3,NC_000937.1,"Streptococcus thermophilus ST135 plasmid pER35, complete sequence",9531,36.54
4,NC_000938.1,"Streptococcus thermophilus ST136 plasmid pER36, complete sequence",3498,34.45
5,NC_000948.1,"Borrelia burgdorferi B31 plasmid cp32-1, complete sequence",30750,29.36
6,NC_000949.1,"Borrelia burgdorferi B31 plasmid cp32-3, complete sequence",30223,28.85
7,NC_000950.1,"Borrelia burgdorferi B31 plasmid cp32-4, complete sequence",30299,29.29
8,NC_000951.1,"Borrelia burgdorferi B31 plasmid cp32-6, complete sequence",29838,29.34
9,NC_000952.1,"Borrelia burgdorferi B31 plasmid cp32-7, complete sequence",30800,29.07
10,NC_000953.1,"Borrelia burgdorferi B31 plasmid cp32-8, complete sequence",30885,29.13
11,NC_000954.1,"Borrelia burgdorferi B31 plasmid cp32-9, complete sequence",30651,29.32
12,NC_000955.2,"Borrelia burgdorferi B31 plasmid lp21, complete sequence",18777,20.65
13,NC_000956.1,"Borrelia burgdorferi B31 plasmid lp56, complete sequence",52971,27.29
14,NC_000957.1,"Borrelia burgdorferi B31 plasmid lp5, complete sequence",5228,23.81
15,NC_000958.1,"Deinococcus radiodurans R1 plasmid MP1, complete sequence",177466,63.19
16,NC_000959.1,"Deinococcus radiodurans R1 plasmid CP1, complete sequence",45704,56.15
17,NC_001272.2,"Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB9741, complete sequence",6578,32.37
18,NC_001275.1,"Acetobacter aceti plasmid pAC5, complete sequence",5123,55.87
19,NC_001277.1,"Pediococcus pentosaceus ATCC43200 plasmid pMD136, complete sequence",19515,34.1
20,NC_001315.1,"Moraxella sp. TA144 plasmid pTA144 Up, complete sequence",1921,40.6
21,NC_001316.1,"Moraxella sp. TA144 plasmid pTA144 Dw, complete sequence",1313,46.15
22,NC_001370.1,"Lactobacillus plantarum plasmid pC30il, complete sequence",2140,36.96
23,NC_001371.1,"Escherichia coli plasmid ColE1, complete sequence",6646,48.44
24,NC_001372.1,"Chlamydia trachomatis plasmid pCHL1, complete sequence",7502,36.23
