,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
0,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP028784.1,182097,NZ_CP028787.2,5256586,52.16,52.16,57.52
1,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP028785.2,5733,NZ_CP028787.2,5256586,44.78,44.78,57.52
2,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP028786.2,54035,NZ_CP028787.2,5256586,49.03,49.03,57.52
3,Acinetobacter baumannii (g-proteobacteria),NZ_CP020580.1,90973,NZ_CP020581.1,3932204,34.42,34.42,39.07
4,Bacillus subtilis subsp. natto BEST195 (firmicutes),NC_017194.1,5838,NC_017196.2,4105380,40.75,40.75,43.5
5,Enterobacter cloacae complex bacterium (enterobacteria),NZ_LT991958.1,299117,NZ_LT991957.1,4783258,47.4,47.4,55.74
6,Enterobacter cloacae complex bacterium (enterobacteria),NZ_LT991959.1,142732,NZ_LT991957.1,4783258,53.76,53.76,55.74
7,Enterobacter cloacae complex bacterium (enterobacteria),NZ_LT991960.1,65087,NZ_LT991957.1,4783258,54.1,54.1,55.74
8,Pantoea alhagi (enterobacteria),NZ_CP019707.1,76331,NZ_CP019706.1,4239970,50.21,50.21,53.57
9,Salmonella enterica subsp. enterica (enterobacteria),NZ_CP020493.1,264914,NZ_CP020492.1,4751926,47.18,47.18,52.23
10,Salmonella enterica subsp. enterica (enterobacteria),NZ_CP020494.1,54067,NZ_CP020492.1,4751926,51.33,51.33,52.23
11,Escherichia coli O121:H19 (E. coli),NZ_CP022408.1,81950,NZ_CP022407.1,5397521,46.27,46.27,50.7
12,Bacillus thuringiensis (firmicutes),NZ_CP014290.1,7486,NZ_CP014282.1,5243635,33.44,33.44,35.32
13,Bacillus thuringiensis (firmicutes),NZ_CP014288.1,12487,NZ_CP014282.1,5243635,31.99,31.99,35.32
14,Bacillus thuringiensis (firmicutes),NZ_CP014287.1,41937,NZ_CP014282.1,5243635,35.3,35.3,35.32
15,Bacillus thuringiensis (firmicutes),NZ_CP014289.1,46165,NZ_CP014282.1,5243635,31.16,31.16,35.32
16,Bacillus thuringiensis (firmicutes),NZ_CP014286.1,54205,NZ_CP014282.1,5243635,34.73,34.73,35.32
17,Bacillus thuringiensis (firmicutes),NZ_CP014285.1,55372,NZ_CP014282.1,5243635,35.57,35.57,35.32
18,Bacillus thuringiensis (firmicutes),NZ_CP014284.1,293705,NZ_CP014282.1,5243635,32.69,32.69,35.32
19,Bacillus thuringiensis (firmicutes),NZ_CP014283.1,635508,NZ_CP014282.1,5243635,32.06,32.06,35.32
20,Lactobacillus plantarum (firmicutes),NZ_CP025732.1,20429,NZ_CP010528.1,3284260,37.29,37.29,44.47
21,Lactobacillus plantarum (firmicutes),NZ_CP025733.1,5985,NZ_CP010528.1,3284260,41.25,41.25,44.47
22,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010416.1,10435,NZ_CP010415.1,4591803,57.36,57.36,66.27
23,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010417.1,13852,NZ_CP010415.1,4591803,55.34,55.34,66.27
24,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010418.1,62783,NZ_CP010415.1,4591803,56.76,56.76,66.27
25,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010419.1,69317,NZ_CP010415.1,4591803,59.23,59.23,66.27
26,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010420.1,132372,NZ_CP010415.1,4591803,61.88,61.88,66.27
27,Azotobacter chroococcum NCIMB 8003 (g-proteobacteria),NZ_CP010421.1,311724,NZ_CP010415.1,4591803,62.67,62.67,66.27
28,Agrobacterium tumefaciens (a-proteobacteria),NZ_CP011248.1,544752,NZ_CP011246.1,2833887,57.57,57.57,58.84
29,Agrobacterium tumefaciens (a-proteobacteria),NZ_CP011249.1,194264,NZ_CP011246.1,2833887,54.65,54.65,58.84
30,Bacillus endophyticus (firmicutes),NZ_CP015323.1,95077,NZ_CP011974.1,4865574,35.23,35.23,36.64
31,Bacillus endophyticus (firmicutes),NZ_CP015324.1,58079,NZ_CP011974.1,4865574,34.61,34.61,36.64
32,Bacillus endophyticus (firmicutes),NZ_CP015325.1,84656,NZ_CP011974.1,4865574,35.45,35.45,36.64
33,Bacillus endophyticus (firmicutes),NZ_CP015326.1,69170,NZ_CP011974.1,4865574,35.2,35.2,36.64
34,Bacillus endophyticus (firmicutes),NZ_CP015327.1,56750,NZ_CP011974.1,4865574,35.11,35.11,36.64
35,Bacillus endophyticus (firmicutes),NZ_CP015328.1,69165,NZ_CP011974.1,4865574,33.28,33.28,36.64
36,Bacillus endophyticus (firmicutes),NZ_CP015329.1,10461,NZ_CP011974.1,4865574,35.46,35.46,36.64
37,Bacillus endophyticus (firmicutes),NZ_CP015330.1,5053,NZ_CP011974.1,4865574,33.82,33.82,36.64
38,Borreliella bavariensis PBi (spirochetes),NC_006128.1,27108,NC_006156.1,904246,25.6,25.6,28.3
39,Borreliella bavariensis PBi (spirochetes),NC_006129.1,55560,NC_006156.1,904246,26.47,26.47,28.3
40,Pseudodesulfovibrio profundus (d-proteobacteria),NZ_LT907976.1,42836,NZ_LT907975.1,4168905,50.34,50.34,52.83
41,Pseudodesulfovibrio profundus (d-proteobacteria),NZ_LT907977.1,6167,NZ_LT907975.1,4168905,45.86,45.86,52.83
42,Escherichia coli (E. coli),NZ_CP023389.1,74094,NZ_CP023388.1,5059652,51.18,51.18,50.5
43,Coxiella burnetii 'MSU Goat Q177' (g-proteobacteria),NC_010258.1,39281,NZ_CP018150.1,2063021,39.66,39.66,42.67
44,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_016635.1,1815,NC_016605.1,1829111,37.58,37.58,36.82
45,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_016606.1,2450,NC_016605.1,1829111,38.82,38.82,36.82
46,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_016636.1,17830,NC_016605.1,1829111,37.96,37.96,36.82
47,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_016607.1,23136,NC_016605.1,1829111,39.99,39.99,36.82
48,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_016608.1,36338,NC_016605.1,1829111,40.6,40.6,36.82
49,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_017017.1,18800,NC_016605.1,1829111,34.85,34.85,36.82
50,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_017018.1,16067,NC_016605.1,1829111,39.45,39.45,36.82
51,Pediococcus claussenii ATCC BAA-344 (firmicutes),NC_017019.1,33246,NC_016605.1,1829111,41.23,41.23,36.82
52,Gluconacetobacter diazotrophicus PA1 5 (a-proteobacteria),NC_011367.1,27455,NC_011365.1,3887492,58.53,58.53,66.38
53,Psychrobacter sp. YP14 (g-proteobacteria),NZ_CP029790.1,13712,NZ_CP029789.1,2817424,39.26,39.26,44.82
54,Psychrobacter sp. YP14 (g-proteobacteria),NZ_CP029791.1,19711,NZ_CP029789.1,2817424,39.27,39.27,44.82
55,Psychrobacter sp. YP14 (g-proteobacteria),NZ_CP029792.1,36270,NZ_CP029789.1,2817424,40.64,40.64,44.82
56,Psychrobacter sp. YP14 (g-proteobacteria),NZ_CP029793.1,8194,NZ_CP029789.1,2817424,35.83,35.83,44.82
57,Escherichia coli (E. coli),NZ_CP024831.1,216181,NZ_CP024830.1,4837992,51.08,51.08,50.73
58,Escherichia coli (E. coli),NZ_CP024832.1,96987,NZ_CP024830.1,4837992,47.63,47.63,50.73
59,Escherichia coli (E. coli),NZ_CP024833.1,46137,NZ_CP024830.1,4837992,46.66,46.66,50.73
60,Salmonella enterica subsp. enterica serovar Typhimurium (enterobacteria),NZ_CP019647.1,275801,NZ_CP019649.1,4999862,46.76,46.76,52.17
61,Salmonella enterica subsp. enterica serovar Typhimurium (enterobacteria),NZ_CP019648.1,4083,NZ_CP019649.1,4999862,49.99,49.99,52.17
62,Acinetobacter sp. TGL-Y2 (g-proteobacteria),NZ_CP015111.1,298877,NZ_CP015110.1,3383728,34.13,34.13,40.38
63,Acinetobacter sp. TGL-Y2 (g-proteobacteria),NZ_CP015112.1,8682,NZ_CP015110.1,3383728,34.27,34.27,40.38
64,Weissella cibaria (firmicutes),NZ_CP012874.1,45949,NZ_CP012873.1,2466961,36.34,36.34,45.09
65,Weissella cibaria (firmicutes),NZ_CP012875.1,24074,NZ_CP012873.1,2466961,36.87,36.87,45.09
66,Weissella cibaria (firmicutes),NZ_CP012876.1,22930,NZ_CP012873.1,2466961,37.3,37.3,45.09
67,Weissella cibaria (firmicutes),NZ_CP012877.1,9484,NZ_CP012873.1,2466961,37.43,37.43,45.09
68,Weissella cibaria (firmicutes),NZ_CP012878.1,5472,NZ_CP012873.1,2466961,35.8,35.8,45.09
69,Weissella cibaria (firmicutes),NZ_CP012880.1,2861,NZ_CP012873.1,2466961,42.5,42.5,45.09
70,Escherichia coli (E. coli),NZ_CP010123.1,214445,NZ_CP010122.1,5333488,47.76,47.76,50.57
71,Escherichia coli (E. coli),NZ_CP010124.1,86032,NZ_CP010122.1,5333488,49.67,49.67,50.57
72,Paracoccus sp. BM15 (a-proteobacteria),NZ_CP025409.1,92522,NZ_CP025408.1,3759886,61.45,61.45,62.24
73,Paracoccus sp. BM15 (a-proteobacteria),NZ_CP025410.1,81868,NZ_CP025408.1,3759886,59.4,59.4,62.24
74,Paracoccus sp. BM15 (a-proteobacteria),NZ_CP025411.1,20460,NZ_CP025408.1,3759886,60.76,60.76,62.24
75,Pandoraea pnomenusa (b-proteobacteria),NZ_CP015372.1,121451,NZ_CP015371.1,5584076,62.2,62.2,64.7
76,Pandoraea pnomenusa (b-proteobacteria),NZ_CP015373.1,85291,NZ_CP015371.1,5584076,63.25,63.25,64.7
77,Pandoraea pnomenusa (b-proteobacteria),NZ_CP015374.1,29016,NZ_CP015371.1,5584076,61.74,61.74,64.7
78,Klebsiella pneumoniae (enterobacteria),NZ_CP024507.1,310025,NZ_CP024504.1,5228889,47.39,47.39,57.59
79,Klebsiella pneumoniae (enterobacteria),NZ_CP024506.1,2936,NZ_CP024504.1,5228889,46.36,46.36,57.59
80,Klebsiella pneumoniae (enterobacteria),NZ_CP024508.1,228353,NZ_CP024504.1,5228889,52.13,52.13,57.59
81,Klebsiella pneumoniae (enterobacteria),NZ_CP024509.1,140704,NZ_CP024504.1,5228889,52.57,52.57,57.59
82,Klebsiella pneumoniae (enterobacteria),NZ_CP024510.1,98344,NZ_CP024504.1,5228889,52.81,52.81,57.59
83,Klebsiella pneumoniae (enterobacteria),NZ_CP024511.1,3514,NZ_CP024504.1,5228889,54.33,54.33,57.59
84,Klebsiella pneumoniae (enterobacteria),NZ_CP024512.1,3377,NZ_CP024504.1,5228889,41.78,41.78,57.59
85,Klebsiella pneumoniae (enterobacteria),NZ_CP024513.1,3336,NZ_CP024504.1,5228889,46.94,46.94,57.59
86,Klebsiella pneumoniae (enterobacteria),NZ_CP024514.1,3223,NZ_CP024504.1,5228889,56.35,56.35,57.59
87,Klebsiella pneumoniae (enterobacteria),NZ_CP024505.1,3012,NZ_CP024504.1,5228889,66.9,66.9,57.59
88,Staphylococcus aureus (firmicutes),NZ_LN831037.1,6578,NZ_LN831036.1,2797452,30.1,30.1,32.9
89,Staphylococcus aureus (firmicutes),NZ_LN831038.1,5141,NZ_LN831036.1,2797452,30.99,30.99,32.9
90,Acinetobacter pittii (g-proteobacteria),NZ_CP021429.1,112604,NZ_CP021428.1,4070270,38.45,38.45,38.98
91,Gordonia sp. KTR9 (high GC Gram+),NC_018582.1,89480,NC_018581.1,5441391,65.12,65.12,67.77
92,Gordonia sp. KTR9 (high GC Gram+),NC_018580.1,182454,NC_018581.1,5441391,62.67,62.67,67.77
93,Gordonia sp. KTR9 (high GC Gram+),NC_018583.1,172385,NC_018581.1,5441391,64.71,64.71,67.77
94,Ralstonia solanacearum (b-proteobacteria),NZ_CP022769.1,2071487,NZ_CP022768.1,3944067,66.97,66.97,66.74
95,Pseudomonas monteilii (g-proteobacteria),NZ_CP022563.1,130536,NZ_CP022562.1,5948598,56.73,56.73,61.8
96,Lactobacillus amylolyticus (firmicutes),NZ_CP020458.1,213597,NZ_CP020457.1,1422440,36.86,36.86,38.46
97,Klebsiella pneumoniae (enterobacteria),NZ_CP018460.1,232181,NZ_CP018458.1,5330835,50.63,50.63,57.34
98,Klebsiella pneumoniae (enterobacteria),NZ_CP018461.1,63593,NZ_CP018458.1,5330835,51.22,51.22,57.34
99,Klebsiella pneumoniae (enterobacteria),NZ_CP018462.1,32942,NZ_CP018458.1,5330835,54.92,54.92,57.34
100,Klebsiella pneumoniae (enterobacteria),NZ_CP018459.1,16971,NZ_CP018458.1,5330835,50.34,50.34,57.34
101,Streptomyces malaysiensis (high GC Gram+),NZ_CP023993.1,49553,NZ_CP023992.1,10694678,69.97,69.97,71.1
102,Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553 (enterobacteria),NZ_AP014566.1,132611,NZ_AP014565.1,5051841,53.41,53.41,52.16
103,Ralstonia solanacearum FJAT-1458 (b-proteobacteria),NZ_CP016555.1,2075659,NZ_CP016554.1,3984240,66.93,66.93,66.72
104,Xylella fastidiosa (g-proteobacteria),NZ_CP009824.1,27268,NZ_CP009823.1,2788789,49.42,49.42,52.91
105,Xylella fastidiosa (g-proteobacteria),NZ_CP009825.1,51180,NZ_CP009823.1,2788789,49.58,49.58,52.91
106,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009035.1,18869,NZ_CP009037.1,5321141,63.07,63.07,64.71
107,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009036.1,58317,NZ_CP009037.1,5321141,61.85,61.85,64.71
108,Streptococcus equinus (firmicutes),NZ_CP020439.1,236564,NZ_CP020438.1,2074978,34.19,34.19,39.89
109,Agrobacterium fabrum (a-proteobacteria),NZ_CP033024.1,306515,NZ_CP033022.1,2907491,57.73,57.73,59.24
110,Agrobacterium fabrum (a-proteobacteria),NZ_CP033025.1,147633,NZ_CP033022.1,2907491,55.62,55.62,59.24
111,Agrobacterium fabrum (a-proteobacteria),NZ_CP033026.1,177577,NZ_CP033022.1,2907491,56.08,56.08,59.24
112,Legionella longbeachae (g-proteobacteria),NZ_CP020895.2,108267,NZ_CP020894.2,4142881,38.18,38.18,37.12
113,Listeria monocytogenes (firmicutes),NZ_CP019166.1,77105,NZ_CP019165.1,3005328,36.59,36.59,37.99
114,Escherichia coli (E. coli),NZ_CP018253.1,95229,NZ_CP018252.1,5516497,48.05,48.05,50.53
115,Azospirillum lipoferum 4B (a-proteobacteria),NC_016585.1,1040425,NC_016622.1,2988332,67.57,67.57,67.61
116,Azospirillum lipoferum 4B (a-proteobacteria),NC_016586.1,750123,NC_016622.1,2988332,67.59,67.59,67.61
117,Azospirillum lipoferum 4B (a-proteobacteria),NC_016623.1,648491,NC_016622.1,2988332,67.82,67.82,67.61
118,Azospirillum lipoferum 4B (a-proteobacteria),NC_016587.1,645253,NC_016622.1,2988332,68.3,68.3,67.61
119,Azospirillum lipoferum 4B (a-proteobacteria),NC_016624.1,478032,NC_016622.1,2988332,67.73,67.73,67.61
120,Azospirillum lipoferum 4B (a-proteobacteria),NC_016588.1,295744,NC_016622.1,2988332,67.08,67.08,67.61
121,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001903.1,26498,NC_001318.1,910724,26.3,26.3,28.59
122,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000948.1,30750,NC_001318.1,910724,29.36,29.36,28.59
123,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000949.1,30223,NC_001318.1,910724,28.85,28.85,28.59
124,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000950.1,30299,NC_001318.1,910724,29.29,29.29,28.59
125,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000951.1,29838,NC_001318.1,910724,29.34,29.34,28.59
126,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000952.1,30800,NC_001318.1,910724,29.07,29.07,28.59
127,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000953.1,30885,NC_001318.1,910724,29.13,29.13,28.59
128,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000954.1,30651,NC_001318.1,910724,29.32,29.32,28.59
129,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001904.1,9386,NC_001318.1,910724,23.69,23.69,28.59
130,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001849.2,16821,NC_001318.1,910724,23.12,23.12,28.59
131,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000955.2,18777,NC_001318.1,910724,20.65,20.65,28.59
132,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001850.1,24177,NC_001318.1,910724,23.34,23.34,28.59
133,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001851.2,28155,NC_001318.1,910724,32.75,32.75,28.59
134,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001852.1,29766,NC_001318.1,910724,31.64,31.64,28.59
135,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001853.1,28601,NC_001318.1,910724,25.04,25.04,28.59
136,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001854.1,27323,NC_001318.1,910724,24.53,24.53,28.59
137,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001855.1,36849,NC_001318.1,910724,26.93,26.93,28.59
138,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001856.1,38829,NC_001318.1,910724,26.07,26.07,28.59
139,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000957.1,5228,NC_001318.1,910724,23.81,23.81,28.59
140,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_001857.2,53657,NC_001318.1,910724,28.14,28.14,28.59
141,Borrelia burgdorferi B31 (Lyme disease spirochete),NC_000956.1,52971,NC_001318.1,910724,27.29,27.29,28.59
142,Pseudomonas syringae pv. actinidiae (g-proteobacteria),NZ_CP017010.1,74424,NZ_CP017009.1,6545910,56.01,56.01,58.42
143,Pseudomonas syringae pv. actinidiae (g-proteobacteria),NZ_CP017011.1,55944,NZ_CP017009.1,6545910,53.22,53.22,58.42
144,Roseobacter denitrificans (a-proteobacteria),NZ_CP027406.1,106464,NZ_CP027407.1,4133061,55.99,55.99,58.97
145,Roseobacter denitrificans (a-proteobacteria),NZ_CP027408.1,69266,NZ_CP027407.1,4133061,59.22,59.22,58.97
146,Pseudomonas putida (g-proteobacteria),NZ_AP015030.1,483376,NZ_AP015029.1,6583377,57.37,57.37,61.89
147,Pseudomonas putida (g-proteobacteria),NZ_AP015031.1,276165,NZ_AP015029.1,6583377,56.17,56.17,61.89
148,Pseudomonas putida (g-proteobacteria),NZ_AP015032.1,94696,NZ_AP015029.1,6583377,62.35,62.35,61.89
149,Pseudomonas putida (g-proteobacteria),NZ_AP015033.1,30071,NZ_AP015029.1,6583377,54.05,54.05,61.89
150,Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria),NZ_CP033341.1,59261,NZ_CP033340.1,4668874,42.11,42.11,52.14
151,Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria),NZ_CP033342.1,56636,NZ_CP033340.1,4668874,51.56,51.56,52.14
152,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009349.1,359439,NZ_CP009351.1,5491311,32.32,32.32,35.25
153,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009348.1,349602,NZ_CP009351.1,5491311,33.35,33.35,35.25
154,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009347.1,235425,NZ_CP009351.1,5491311,36.59,36.59,35.25
155,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009350.1,107443,NZ_CP009351.1,5491311,33.83,33.83,35.25
156,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009346.1,14961,NZ_CP009351.1,5491311,39.71,39.71,35.25
157,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009345.1,7697,NZ_CP009351.1,5491311,35.26,35.26,35.25
158,Bacillus thuringiensis HD1002 (firmicutes),NZ_CP009344.1,6824,NZ_CP009351.1,5491311,35.99,35.99,35.25
159,Pseudoalteromonas arctica A 37-1-2 (g-proteobacteria),NZ_CP011027.1,97261,NZ_CP011025.1,3840834,38.56,38.56,39.26
160,Rhizobium tropici CIAT 899 (a-proteobacteria),NC_020060.1,216610,NC_020059.1,3837060,58.62,58.62,59.88
161,Rhizobium tropici CIAT 899 (a-proteobacteria),NC_020061.1,549467,NC_020059.1,3837060,57.62,57.62,59.88
162,Rhizobium tropici CIAT 899 (a-proteobacteria),NC_020062.1,2083197,NC_020059.1,3837060,59.36,59.36,59.88
163,Escherichia coli (E. coli),NZ_CP010214.1,146496,NZ_CP010213.1,5103562,49.06,49.06,50.54
164,Escherichia coli (E. coli),NZ_CP010215.1,61058,NZ_CP010213.1,5103562,51.91,51.91,50.54
165,Escherichia coli (E. coli),NZ_CP010216.1,6039,NZ_CP010213.1,5103562,45.16,45.16,50.54
166,Escherichia coli (E. coli),NZ_CP010217.1,6036,NZ_CP010213.1,5103562,49.25,49.25,50.54
167,Escherichia coli (E. coli),NZ_CP010218.1,5312,NZ_CP010213.1,5103562,47.14,47.14,50.54
168,Escherichia coli (E. coli),NZ_CP018110.1,120326,NZ_CP018109.1,4796421,51.3,51.3,50.83
169,Escherichia coli (E. coli),NZ_CP018114.1,5310,NZ_CP018109.1,4796421,51.13,51.13,50.83
170,Escherichia coli (E. coli),NZ_CP018113.1,62157,NZ_CP018109.1,4796421,52.25,52.25,50.83
171,Escherichia coli (E. coli),NZ_CP018112.1,64467,NZ_CP018109.1,4796421,42.82,42.82,50.83
172,Escherichia coli (E. coli),NZ_CP018111.1,67946,NZ_CP018109.1,4796421,51.35,51.35,50.83
173,Enterococcus mundtii QU 25 (firmicutes),NC_022881.1,2584,NC_022878.1,3022186,38.93,38.93,38.61
174,Enterococcus mundtii QU 25 (firmicutes),NC_022884.1,23629,NC_022878.1,3022186,35.27,35.27,38.61
175,Enterococcus mundtii QU 25 (firmicutes),NC_022880.1,38528,NC_022878.1,3022186,33.75,33.75,38.61
176,Enterococcus mundtii QU 25 (firmicutes),NC_022883.1,82213,NC_022878.1,3022186,35.83,35.83,38.61
